time,measurement_type,pos_x,pos_y,theta
0.01,model,2.084932825323827,-1.6207295897192013,0.6317366829875329
0.017,model,2.086711214475886,-1.6194306916390062,0.6317218514844408
0.075,model,2.0986979148789,-1.6106594080209093,0.6316183880812152
0.211,model,2.0986982583242333,-1.6106590653425514,0.6316112681818157
0.211,model,2.098698258333586,-1.6106590653422312,0.631611268322672
0.211,model,2.0986982583429383,-1.6106590653419113,0.6316112684635157
0.211,model,2.098698258352291,-1.6106590653415915,0.631611268604359
0.262,model,2.0986982583616434,-1.6106590653412716,0.6316112687452025
0.262,model,2.098698258370996,-1.6106590653409516,0.6316112688860461
0.262,model,2.0986982583803484,-1.6106590653406319,0.6316112690268896
0.262,model,2.098698258389701,-1.610659065340312,0.6316112691677331
0.262,model,2.0986982583990534,-1.610659065339992,0.6316112693085766
0.314,model,2.098698258408406,-1.6106590653396722,0.63161126944942
0.314,model,2.0986982584177585,-1.6106590653393522,0.6316112695902636
0.314,model,2.098698258427111,-1.610659065339032,0.631611269731107
0.314,model,2.0986982584364635,-1.6106590653387123,0.6316112698719504
0.314,model,2.098698258445816,-1.6106590653383925,0.631611270012794
0.349,model,2.0986982584551686,-1.6106590653380723,0.6316112701536374
0.349,model,2.098698258464521,-1.6106590653377522,0.631611270294481
0.349,model,2.0986982584738736,-1.6106590653374324,0.6316112704353245
0.349,model,2.098698258483226,-1.6106590653371124,0.6316112705761678
0.359,model,2.0986982584925786,-1.6106590653367925,0.6316112707170115
0.504,model,2.098698258586104,-1.6106590653335928,0.6316112721254464
0.504,model,2.098698258595457,-1.610659065333273,0.6316112722662899
0.504,model,2.098698258604809,-1.610659065332953,0.6316112724071332
0.504,model,2.0986982586141614,-1.6106590653326331,0.6316112725479769
0.504,model,2.098698258623514,-1.6106590653323132,0.6316112726888202
0.552,model,2.0986982586328664,-1.6106590653319934,0.6316112728296639
0.552,model,2.0986982586422194,-1.6106590653316737,0.6316112729705072
0.552,model,2.0986982586515714,-1.6106590653313537,0.6316112731113507
0.552,model,2.098698258660924,-1.6106590653310338,0.6316112732521943
0.552,model,2.0986982586702765,-1.6106590653307138,0.6316112733930378
0.6,model,2.0986982587170395,-1.6106590653291144,0.6316112740972553
0.738,model,2.0986982588105647,-1.6106590653259154,0.6316112755056902
0.738,model,2.0986982588199172,-1.6106590653255957,0.6316112756465336
0.738,model,2.0986982588292697,-1.6106590653252755,0.6316112757873772
0.738,model,2.0986982588386223,-1.6106590653249555,0.6316112759282206
0.738,model,2.098698258847975,-1.6106590653246358,0.6316112760690641
0.825,vicon,2.061041154225019,-1.6314667503404816,0.6325092895265796
0.83,model,2.0986982588947374,-1.6106590653230362,0.6316112767732815
0.83,model,2.09869825890409,-1.6106590653227162,0.6316112769141251
0.83,model,2.0986982589134424,-1.6106590653223964,0.6316112770549686
0.83,model,2.098698258922795,-1.6106590653220767,0.631611277195812
0.83,model,2.0986982589321475,-1.6106590653217567,0.6316112773366556
0.83,vicon,2.060959196253365,-1.6314633425123068,0.6326879525948009
0.851,vicon,2.0608623197995035,-1.631438116145525,0.6328873216656761
0.851,vicon,2.060789152674358,-1.631433437597807,0.633053877999535
