time,measurement_type,pos_x,pos_y,theta
0.97,model,-9.622899376107322e-09,-3.261791384812877e-08,6.00682742456399e-09
0.98,model,-9.620052205591957e-09,-3.2622432856902494e-08,6.061695320151165e-09
0.99,model,-9.617205035080306e-09,-3.262695186567076e-08,6.116563215675128e-09
1.0,model,-9.614357864558232e-09,-3.263147087445603e-08,6.1714311114084944e-09
1.01,model,-9.61151069405341e-09,-3.263598988321441e-08,6.2262990068178625e-09
1.02,model,-9.608663523543108e-09,-3.2640508891981945e-08,6.281166902341345e-09
1.03,model,-9.605816353032618e-09,-3.264502790075025e-08,6.336034797876882e-09
1.04,model,-9.602969182526233e-09,-3.26495469095125e-08,6.390902693341795e-09
1.05,model,-9.600122012019714e-09,-3.265406591827541e-08,6.4457705888177985e-09
1.06,model,-9.597274841512778e-09,-3.265858492703947e-08,6.500638484310279e-09
1.07,model,-9.594427671008744e-09,-3.2663103935799395e-08,6.555506379755326e-09
1.08,model,-9.591580500493707e-09,-3.266762294457723e-08,6.6103742754209455e-09
1.09,model,-9.588733330006129e-09,-3.2672141953311956e-08,6.665242170565842e-09
1.1,model,-9.585886159492357e-09,-3.267666096208873e-08,6.720110066224017e-09
1.11,model,-9.583038989000152e-09,-3.2681179970831737e-08,6.774977961475073e-09
1.12,model,-9.580191818495196e-09,-3.2685698979595445e-08,6.829845856980287e-09
1.13,model,-9.577344648012758e-09,-3.2690217988323876e-08,6.884713752060033e-09
1.1400000000000001,model,-9.574497477517587e-09,-3.2694736997073e-08,6.93958164739369e-09
1.15,model,-9.571650307022203e-09,-3.269925600582292e-08,6.994449542739862e-09
1.16,model,-9.568803136529311e-09,-3.2703775014569335e-08,7.0493174380464546e-09
1.17,model,-9.565955966025603e-09,-3.27082940233334e-08,7.104185333570022e-09
1.18,model,-9.563108795547715e-09,-3.271281303205693e-08,7.1590532286044914e-09
1.19,model,-9.56026162506275e-09,-3.271733204079217e-08,7.213921123783771e-09
1.2,model,-9.557414454575308e-09,-3.2721851049531816e-08,7.2687890190193235e-09
1.25,model,-9.543178602139606e-09,-3.274444609323461e-08,7.543128495294965e-09
1.26,model,-9.540331431671891e-09,-3.274896510194572e-08,7.597996390201147e-09
1.27,model,-9.53748426119636e-09,-3.2753484110669716e-08,7.652864285266422e-09
1.28,model,-9.534637090715506e-09,-3.275800311940263e-08,7.707732180442793e-09
1.29,model,-9.531789920227345e-09,-3.2762522128147595e-08,7.762600075768372e-09
1.3,model,-9.528942749768318e-09,-3.276704113684679e-08,7.81746797054102e-09
1.35,model,-9.514706897409638e-09,-3.2789636180450596e-08,8.091807445756083e-09
1.3599999999999999,model,-9.51185972692864e-09,-3.279415518918747e-08,8.146675341003063e-09
1.37,model,-9.50901255647843e-09,-3.279867419787593e-08,8.201543235665123e-09
1.38,model,-9.506165386011012e-09,-3.2803193206592174e-08,8.256411130667263e-09
1.3900000000000001,model,-9.503318215547337e-09,-3.280771221530292e-08,8.311279025605745e-09
1.4,model,-9.500471045071085e-09,-3.2812231224034114e-08,8.36614692079511e-09
1.41,model,-9.497623874616023e-09,-3.2816750232732124e-08,8.42101481558462e-09
1.42,model,-9.494776704157049e-09,-3.2821269241436845e-08,8.475882710458023e-09
1.43,model,-9.49192953369132e-09,-3.2825788250152736e-08,8.530750605469992e-09
1.44,model,-9.489082363233865e-09,-3.283030725885595e-08,8.585618500331081e-09
1.45,model,-9.486235192791679e-09,-3.28348262675354e-08,8.640486394906373e-09
1.46,model,-9.483388022322792e-09,-3.2839345276257706e-08,8.695354290004675e-09
1.47,model,-9.480540851883206e-09,-3.284386428493397e-08,8.750222184546797e-09
1.48,model,-9.477693681416955e-09,-3.2848383293653e-08,8.80509007961131e-09
1.49,model,-9.474846510981436e-09,-3.285290230232373e-08,8.85995797409202e-09
1.5,model,-9.471999340529994e-09,-3.2857421311020214e-08,8.914825868888064e-09
1.51,model,-9.469152170067483e-09,-3.286194031973473e-08,8.969693763905872e-09
1.52,model,-9.466304999620205e-09,-3.286645932842551e-08,9.024561658638581e-09
1.53,model,-9.463457829188106e-09,-3.287097833709268e-08,9.079429553087281e-09
1.54,model,-9.460610658729308e-09,-3.287549734580271e-08,9.13429744805897e-09
1.55,model,-9.457763488299798e-09,-3.2880016354466704e-08,9.189165342474778e-09
1.56,model,-9.454916317843608e-09,-3.288453536317351e-08,9.244033237413155e-09
1.5699999999999998,model,-9.452069147418166e-09,-3.288905437183197e-08,9.298901131767426e-09
1.58,model,-9.449221976976808e-09,-3.289357338051617e-08,9.353769026436957e-09
1.5899999999999999,model,-9.446374806524782e-09,-3.289809238921776e-08,9.408636921320552e-09
1.6,model,-9.44352763609944e-09,-3.2902611397877467e-08,9.463504815698345e-09
1.6099999999999999,model,-9.440680465666792e-09,-3.290713040654922e-08,9.518372710225404e-09
1.62,model,-9.437833295223659e-09,-3.2911649415238104e-08,9.573240604962996e-09
1.63,model,-9.434986124795361e-09,-3.2916168423903894e-08,9.628108499423136e-09
1.6400000000000001,model,-9.432138954367292e-09,-3.2920687432569804e-08,9.682976393887415e-09
